user_id,spotify_id
5783,2vDwHj2hEnJPsD5cOrbo7G
6171,19zeE4i4Hrcegw6T3NSGAm
202024,4uciJltFHP9srt0iGp6SY9
5903,2OWFVVwT9YMfM5CxR4IeSM
5832,5TmLuKNgQC1YqM4gGGWXJd
6157,7Iw6TwPkS7bja1OrA3Neal
5952,0yhpelQ5TqFlhKSK7fEI0s
303733,0Q6iMAzQxOKdcXso1ztiaO
6215,0BZlZQB8ftJpihyuqQR1LK
6275,5YbMXYyv5FvvJpqf7z44Pn
5942,0uRdjCMKaq9qp4uva6FQdl
160550,1QXsIqLfotA6OnwVqQvPs5
6167,059jVWIqXVJvAskIuJyScN
5966,2eBfC3BTk6UodinzxpRNsw
5849,6GfPF6BC4tsEtcfUhh3Siv
6067,1aMDIGNoQkqzZCyFtPKgCc
345356,549hYB7r8N0E3R7AihKveu
5910,5oMqvT0EpXHuolJEaHcmCi
5885,4KBBVX4w3jNXj9pJyD2cM6
6256,4GNxrpk6Q3dP0b3hP2GaLp
6232,7G4qfBpp1VSqmB43js6pBW
6849,18DaO2Zkj4eypy3lzxQhg6
6497,4nRHcfAmMSUanRKGE6vw3Q
6364,2ZihxWiORNnSYLJLElbPuv
6280,2c8JocB8eI6cCGaF5xGoT1
6830,2KLn6Uc0PfrLETzhNWWSDw
6719,0s0b8dEQMbh5OuHC96ClbC
6486,7uf8SNRJ1LlPqjKd3gVfOQ
6774,6wTp42nOb6AKXqoFMA1Ymz
6803,1YITDkdJkXrk05uBpnWw4P
6649,5lxpCYUKAMK0GWqxdUbiwo
6793,5e98C748hMeIsvOflAJj66
6836,1bPnD4ydrt4BvSTekBNvFe
6709,41Zm6mXuUHzyuYUC7TDYGO
6702,3mRmeXEm2js0XTfHFVahuD
6538,5bRsWiqXizbTogyOEHVIu0
6714,4QQ7oTTczMTot51xhy1giT
6610,3jzegleFnV8ZXVGGfXsziu
6545,60tz482wxePfv3n6Ve1GRO
6621,2sdqr4jxlVzm6MBG3c5haM
6760,5NWbAWwcHnxmrr6vUhmqfH
387094,7MdatuF6RksoKqOpBLpVZB
6683,1rHpZr0ao9cCjiFanAv67l
6813,4AtqkoG6vBW1XHyYsIEPMJ
6791,4wBSTTOjGt95MyM4ASfbof
6638,5ZOUwRi5lvSdcimiULeI51
7241,3hzoxw94G4KENOa39TfeQc
424189,6F1okQTSYZvuTWaRhixnYo
7060,2DxuoRbeu2dnw3N7qMzWaD
6837,18blsmgp3MRhbBorIidbkk
303734,4LqKL5qskawA5rgT9kPVjo
7252,7MlkcMZ5n9BgU5wNgYcNvu
1266,0XDFtua6kqEe7nIl8Z5gJb
7296,7C1IMIvwbyLRzb3SkIcVqw
7055,4y0wQAleK4gjeND5SHpaod
7219,4NFuhGpfICnrGYXvTLcJ2p
7308,1l0TLT6HpbseigAYTHPzKK
7009,37j8wAQ4dudi8EIUL32hk1
7095,2pzA4sn1ofaCQ1faCoQpU3
6981,3OSrkMwSuFY1jYBizAwkaq
7147,6lY6kOVMG0mR07JTzU33o5
7280,1HVwzNriKEjaeE06okqSpx
7355,3Q6v2TwbQyqfJ00kUqsIaE
6877,0RsdLAIFqiXdpcCDvfPFKH
206626,3jo6DIGASDJ29hpK2OmZa7
7306,4cVZ93lrLWk1xgCGhMEYZh
461360,19GhuzXNnTHQk6aFufii0U
7205,4vwzEW1kPK1BlgSBGrRyqZ
7549,1bgPJO2bEMzxmC3MGToBkR
7442,4EAZKfoMmGIEICVliK5Jah
7630,2iiICXzySs17bPNE9VV9NZ
7430,1cf6E7U5Z69NZIEH2lt108
7562,1QHLcqY9m9aoKWcjBiQV0y
7539,5vUvUbVlt1pGuS7zCaavsq
7457,67YX5LXpg5UxjgkvpURrjv
7592,0XTtTfY9lTNs1wPgpICfBb
8118,2hJHgSjgt2ij8alpKsyWmN
8177,6baCBHt8xp2dNfLlZ87inS
7577,1ufLmkPa97LQ8axf3F7enS
7510,6LVzUrTVwDlZvmu0MANvi1
7682,2p9fd7kDwZwGTdCsz85Nef
8106,3rO7uyoYAoUl97CNht68hz
8083,2XlwOcXssC0QnupEF3RLov
7794,1s5sjIHJaU4nsAqftnNXfV
8142,3MvZWIRVvQa4tFGyTHi7pd
336048,1159Tto4wlVZpA3jeqXWZv
8063,5eJ5nj1eBqsfiaN23A4IDR
8138,0QS3e81yxqcAh6izLUEa3a
7324,6LikzsWy0sP1Vi8WOKt5ei
7871,7qBadlbDvDzr6BPLdsHY89
8782,6C09rtfFZmU7JB1IHFbCOT
8869,5to4WwZlhu2bXS2kDuoPSz
8322,4Q5mTpxTC7EKPNEf2dgxEK
8809,0PlHBA5cfSDkQxfiqfDFsh
8236,4Y2tMbo5x9mEaRYSHyiuwP
8721,6Dwna61rCYANSisWxJQy7F
8417,4Xgz6fKY9TOFAQJzkaGu3H
8772,6rVjgJjbtiyMmXi2YBryvk
8688,507u80nH8yNaqv6HfVOZTV
8537,6mxBXXMcxFHvBHimI4bSKr
336049,7Hzx5xAq1Ekh9WLz1Z3MnQ
8440,0TfVxFlOZ8vCpWSG8NbxfM
9016,3ARAhwAQD0m2jgt8oQifGA
8447,7vsnJeTdkt7c8SGPlcRqsW
8980,64SLcw5gWgSlsdXNQfEs44
8359,4J8PDb1yM5j4D4t3CsM70f
8601,53GAU5tdHVL97frliC5HuG
8426,32HDoAMYwAbIfefdCuvRAK
8705,5AZ8R79yQuILy2y2SyphHr
8281,2I2tSp2mjxLCI2XsLSgsaM
8481,6Rs7WV4stYqwyAD0sNB9Bn
1370,0vRuyurtTSyXN9NtlwIbNF
8349,2etwDqmaGAmZKh4f0VGLKE
8376,0exk0z0OHCGAhujX7nE7qy
8222,0vuRqHR9Wy4cwuivweEG5S
9145,4ZoQmoFXF0JJAMTcgopOjd
9199,7g5Oyv0LZBZGRPUetmZYoZ
9168,2LQ6CvVANu6FpLp2RWQhE2
9785,1eUEtCaJ73BmXBJaQBugHi
9257,7e50fbqsi2NLaVWLMuAy7f
9796,1BEezFxAAhGWa4lsLmddW2
9266,4NenszATWvxZ0rRM5f8pAP
9510,1niOQVlqnlW8hFqKSlbx7p
9259,2TTQRNNJNr3DKDgVGpWUaH
9383,3Xp2zhqhMeT9j9bNIeyZWU
9332,44OTBvXARz9dsn8J6NGcqm
174322,4uxgNoFIHVTBiAUk8wjuRR
9638,3n8E7WXJLO7SonxYD9OjSP
9354,7HTtGRW9yi76ObZwejCFob
9327,2atwG2TdLJ99UpJVxXi3E4
9790,3hLtC4AVW0g90trycMxLpe
9636,43ndpI3kmdh5htrFDGk01s
9492,3AIu4oGG5E2KTk4M10OwF8
9349,4CNfNumLeJ7h2Gv1QZP9OX
9615,68383RQ7nCkWuWRx7UyNUD
9853,6ekDlZwJwK9qFnO32QlLxz
9788,2QnZE9opYZPbFtfIuX3Djz
9520,6t6CAzqbXoQ5gXO6w78Tni
9944,4wuJEvClymsGVYXCP00JZB
9608,2zRXC9OjmjzJYeGJ76irbl
9499,05Q8Yl1RIhF9lmhlQAnT2I
9581,228S2X3CoyZl9klibKOTJt
10134,3GL9E6i6cr7pzwLQJkPrYr
1560,3TyDnNCINpwLxJiRbT6uuh
10112,6QBXN3vAlzmX5e6QQvkiVU
10314,68MlEPOmowVvuEM95W4HaM
10191,7eW7XlHPEaGBY5JION7Vw9
9995,6XjTie7SEQi3kXUDl8Zcp2
10163,2HkQjJPb5SV63M2OLYuP21
202023,6iSgsMdUIDJqcvTR3yZJa2
303735,6aWuADMO8eGV5moR63m60H
373220,3kDZZ4s5hZbvSgh7judzB4
10487,6dWQto5pnauoxt6dBou471
10438,7LhJFe6rXO8TmqfAzQP1SS
10476,0YLVYrpMT95vXACQXEodZL
10005,7j8hJ3AUvRVQp2J4eFxjVi
9962,4ZsIWOZ4iFfMnH7oFcYWT3
10222,1xqlVMH5EAhhmHSRwhXJUy
10232,6yJJzUN58MwuBWAHE2EUq0
10446,5ebhyrhNEuzrOs6lInKAEh
10157,2EWhtiZxOIEBlPp0r0Wxme
10169,2YEnrpAWWaNRFumgde1lLH
10343,7386pISFiAxmjIfIdxNhjn
9973,45JKTZ6Tfcw1XUWL3t72Sm
9993,6pfIKy8tiB72r8JdXJmf8b
10048,3nmiPLaXlKYYRf9zEh0MNd
10457,6Qt4M6p6dnbQVq6RulgbCx
10317,6V2AMiHtO04asNkDKJH9uF
11065,3rF2ZcZCcwYluO3h9wRP22
118965,3HhppugvtcjVXfsJjkpVv8
10787,1V5S3DQkS5R5iLseYWn7TP
11127,5atKdtiLsOGLO6XiSjsvqM
451961,254Bb7mlUG9b3nRZ200dc9
11052,1ynF9VKmojSdanksAvDMGq
11086,1FB1gnkbhDIh9Pca7fqZIW
10757,7yanQQ01HPoLQU4FeY5TdM
234366,1G1IMcDCnz3TWq7U79Wvly
7762,1PdLa3rMTlp7QlvEejk6Fj
10581,5m4sMavKVXpZxrE4sd67Cd
424191,2RgfDvNnwJPMLSUu6H3kuq
10578,4H6MYZBlNkCA7Em1oyYPKE
10797,60av7MVvwzHKltmUJAgRZb
10903,6c6dtxSXak6ZnBma4Bmxmn
10984,1J2S8Cxvpl4PU9vZoqqyJD
10884,0oNo64bQYJTyx0Po4sT0Xf
10857,6NyPX9QI2WJLCKvvFLn7lt
10639,5j7ql2sFpKxWvZI6TIDfgj
11324,1Snjg8txInI7k61krAOiHv
11577,0KIGzFpfPPJ5jRL0sgcKdy
11361,6OkujIQbQoYoRVMK4JrHqU
11629,1k65Z6RR7niAIng9OtdlMc
11210,34Rihi3hhLOPFTRKa4RFYG
11216,3yoDs6sqTCOYJXa8T7LGmb
11226,7qXsitZXKrDgXW0B3ISXWZ
400956,0JmKGC4yx4pR0lCSvfKYWw
11139,3TkdECQecbFiuvhKcN6C13
11207,77kFStmiMsr6uQ7w2GE5X9
11368,39Y4OawKx3mNqYMiR0mOUK
11382,23p7wjbTHss2TtQhbRzuUp
11725,7sbDfGq4RVRz6cEt5PH4Su
12010,7gt9m1bmlRQa1k6JTecMuo
11708,1atOd5cNQXbg6IJNNithYX
11790,2Ds9H8orI9nLDupJQukm6X
11970,0Y8nVp7smV6CNPMGs095TH
11724,5I8AGIJV71YBzM4pTF91NA
11814,3BZlNOAbKwskxv01DL9yOz
11778,4Bb3vJgKsgjMmxDEElLZ1Y
303736,36cF1CjPZVk7ebdrHwwRX0
11832,1bhjyHMNKS0vlSfBOOKnv0
12144,1LHgj1SNglf6rXFWELLK4P
11727,5UzoS4hwH6QxjHBT6AvZON
11893,1ACtlsneqKsp8kaINaalrR
11866,1bxEKRPAhYf3hcLOlpUBdx
475215,4NnkZurci0Sv77NOhaVj46
12131,4Yg7FlrTPZeDATmHASYGsb
11949,5EgU7tch0Uh3ppESPBzgVh
12134,2K0WZfk1SJOGXFMxb9alH1
12061,5Uc8vQIt3TzDDIHDKK02CQ
345359,5GBf4nv06Fqj2YZIn523Pv
12217,56f4AjhocjduBsHZDoTD7l
